timestamp,entry_idx,exit_idx,type,entry_price,stop_loss,take_profit,exit_price,hit_sl,hit_tp,profit_loss
43071,43071,24,BUY,0.90588,0.9033300000000002,0.9074609262786162,0.9074609262786162,False,True,0.0015809262786161682
43155,43155,61,BUY,0.90643,0.9047799999999999,0.9079931708433256,0.9047799999999999,True,False,-0.0016500000000000403
43176,43176,124,BUY,0.90556,0.9042999999999999,0.9066353613313617,0.9042999999999999,True,False,-0.0012600000000001499
43214,43214,115,BUY,0.90512,0.9037400000000002,0.9059974091344017,0.9059974091344017,False,True,0.0008774091344017076
43218,43218,136,BUY,0.90492,0.90273,0.9061119277714417,0.90273,True,False,-0.0021899999999999142
43268,43268,86,SELL,0.9059,0.9076700000000002,0.9023599999999998,0.9023599999999998,False,True,0.0035400000000002096
43300,43300,1,BUY,0.90528,0.904005,0.9060386918438651,0.904005,True,False,-0.0012750000000000261
43301,43301,53,BUY,0.90445,0.9015850000000001,0.9062452022964046,0.9015850000000001,True,False,-0.0028649999999998954
43302,43302,52,BUY,0.9046,0.9016299999999999,0.9063063605467999,0.9016299999999999,True,False,-0.002970000000000028
43350,43350,4,BUY,0.90494,0.90341,0.906181227555488,0.90341,True,False,-0.0015299999999999203
43352,43352,2,BUY,0.90463,0.9027550000000001,0.9061936356241235,0.9027550000000001,True,False,-0.00187499999999996
43354,43354,0,BUY,0.90434,0.9019849999999999,0.9061517478562934,0.9019849999999999,True,False,-0.002355000000000107
43355,43355,915,BUY,0.8997,0.8967,0.9076449341691515,0.8967,True,False,-0.0030000000000000027
43356,43356,914,BUY,0.89961,0.89661,0.9082699759916877,0.89661,True,False,-0.0030000000000000027
43357,43357,913,BUY,0.89968,0.89668,0.9085846196618849,0.89668,True,False,-0.0030000000000000027
43391,43391,94,BUY,0.89863,0.89563,0.9010343181494577,0.9010343181494577,False,True,0.0024043181494576293
43403,43403,16,BUY,0.89746,0.894835,0.89993895093614,0.89993895093614,False,True,0.002478950936139923
43435,43435,49,BUY,0.89857,0.89557,0.9006856385269963,0.9006856385269963,False,True,0.0021156385269963662
43486,43486,76,SELL,0.90108,0.9034799999999998,0.8962800000000002,0.9034799999999998,True,False,-0.0023999999999998467
43494,43494,280,SELL,0.90181,0.90481,0.89581,0.90481,True,False,-0.0030000000000000027
43548,43548,11,BUY,0.90132,0.900195,0.9021165601992414,0.9021165601992414,False,True,0.0007965601992413474
43549,43549,10,BUY,0.90134,0.9000950000000001,0.9021557938945503,0.9021557938945503,False,True,0.0008157938945502208
43591,43591,9,BUY,0.90231,0.90048,0.903457710484669,0.903457710484669,False,True,0.0011477104846691066
43669,43669,43,BUY,0.90083,0.89783,0.9026684122409093,0.9026684122409093,False,True,0.001838412240909304
43771,43771,291,SELL,0.90372,0.905775,0.89961,0.905775,True,False,-0.002055000000000029
43772,43772,495,SELL,0.90409,0.9066999999999998,0.8988700000000001,0.8988700000000001,False,True,0.005219999999999891
43773,43773,494,SELL,0.90428,0.9072349999999998,0.8983700000000002,0.8983700000000002,False,True,0.005909999999999749
43775,43775,492,SELL,0.90469,0.90769,0.89869,0.89869,False,True,0.006000000000000005
43864,43864,186,SELL,0.9023,0.90434,0.8982199999999999,0.90434,True,False,-0.0020400000000000418
44064,44064,2,BUY,0.90269,0.89969,0.9049247064355556,0.9049247064355556,False,True,0.002234706435555567
44065,44065,1,BUY,0.90253,0.89953,0.90503101971403,0.90503101971403,False,True,0.0025010197140299395
44165,44165,102,BUY,0.90189,0.89889,0.9045596657780609,0.89889,True,False,-0.0030000000000000027
44166,44166,101,BUY,0.90191,0.89891,0.9047010161331928,0.89891,True,False,-0.0030000000000000027
44200,44200,53,BUY,0.90201,0.899625,0.9032303327230536,0.899625,True,False,-0.0023849999999999705
44201,44201,66,BUY,0.90172,0.899335,0.9033131406245104,0.899335,True,False,-0.0023849999999999705
44202,44202,65,BUY,0.90153,0.8987700000000001,0.9033976515074578,0.8987700000000001,True,False,-0.0027599999999999847
44203,44203,64,BUY,0.90079,0.89779,0.9035962705429373,0.89779,True,False,-0.0030000000000000027
44204,44204,63,BUY,0.90071,0.89771,0.9037400072074399,0.89771,True,False,-0.0030000000000000027
44205,44205,62,BUY,0.90068,0.89768,0.903802231929204,0.89768,True,False,-0.0030000000000000027
44252,44252,15,BUY,0.9005,0.897605,0.9021808092115952,0.897605,True,False,-0.002894999999999981
44253,44253,14,BUY,0.9003,0.897405,0.9022805377398613,0.897405,True,False,-0.002894999999999981
44268,44268,2,BUY,0.89751,0.89451,0.9017743374560824,0.89451,True,False,-0.0030000000000000027
44270,44270,0,BUY,0.8974,0.8944,0.9018598472923426,0.8944,True,False,-0.0030000000000000027
44271,44271,1,BUY,0.89477,0.89177,0.9025782251296,0.89177,True,False,-0.0030000000000000027
44272,44272,0,BUY,0.89311,0.89011,0.9033532690375194,0.89011,True,False,-0.0030000000000000027
44273,44273,1009,BUY,0.88884,0.88584,0.9048309797540753,0.9048309797540753,False,True,0.015990979754075374
44274,44274,1068,BUY,0.88918,0.88618,0.9055306883890963,0.9055306883890963,False,True,0.01635068838909637
44334,44334,15,BUY,0.89326,0.8907400000000001,0.895293126626803,0.8907400000000001,True,False,-0.0025199999999999667
44343,44343,16,BUY,0.89238,0.88938,0.8952261549112248,0.8952261549112248,False,True,0.002846154911224863
44344,44344,15,BUY,0.89223,0.88923,0.8953439281506639,0.8953439281506639,False,True,0.003113928150663914
44349,44349,9,BUY,0.89158,0.88858,0.8950719792598011,0.8950719792598011,False,True,0.003491979259801048
44350,44350,9,BUY,0.89082,0.8878199999999999,0.895150824070384,0.895150824070384,False,True,0.004330824070384098
44351,44351,8,BUY,0.89069,0.88769,0.8951466654768606,0.8951466654768606,False,True,0.004456665476860633
44428,44428,54,BUY,0.89699,0.894155,0.8994035346031658,0.8994035346031658,False,True,0.0024135346031658456
44492,44492,566,SELL,0.90147,0.90447,0.89547,0.89547,False,True,0.006000000000000005
44493,44493,136,SELL,0.90205,0.90505,0.89605,0.89605,False,True,0.006000000000000005
44508,44508,31,BUY,0.90021,0.8972249999999999,0.9022881679459741,0.8972249999999999,True,False,-0.0029850000000000154
44509,44509,100,BUY,0.89985,0.89685,0.9023906332933277,0.89685,True,False,-0.0030000000000000027
44514,44514,109,BUY,0.89935,0.89635,0.9023265534500128,0.89635,True,False,-0.0030000000000000027
44538,44538,17,BUY,0.89824,0.89533,0.90030197444844,0.90030197444844,False,True,0.0020619744484399183
44539,44539,16,BUY,0.89759,0.89459,0.9005768647012122,0.9005768647012122,False,True,0.002986864701212233
44540,44540,16,BUY,0.89719,0.89419,0.9008335770408481,0.9008335770408481,False,True,0.003643577040848056
44556,44556,681,SELL,0.90073,0.90373,0.89473,0.90373,True,False,-0.0030000000000000027
44580,44580,43,BUY,0.89931,0.89631,0.9013153904823148,0.89631,True,False,-0.0030000000000000027
44624,44624,30,BUY,0.89619,0.8939849999999999,0.8977502193703206,0.8977502193703206,False,True,0.0015602193703205813
44851,44851,126,BUY,0.90156,0.89856,0.903881860114049,0.89856,True,False,-0.0030000000000000027
44852,44852,124,BUY,0.90165,0.89865,0.9039023131392949,0.89865,True,False,-0.0030000000000000027
44921,44921,44,BUY,0.9017,0.8991499999999999,0.9035221520365294,0.8991499999999999,True,False,-0.0025500000000000522
44945,44945,29,BUY,0.90093,0.8987700000000001,0.9025508423161291,0.8987700000000001,True,False,-0.0021599999999999397
44946,44946,31,BUY,0.90086,0.898595,0.9026167103495468,0.898595,True,False,-0.0022649999999999615
44947,44947,36,BUY,0.90041,0.897545,0.9027365522790847,0.897545,True,False,-0.0028650000000000064
44948,44948,42,BUY,0.90037,0.89737,0.9027366841949288,0.89737,True,False,-0.0030000000000000027
44949,44949,42,BUY,0.90018,0.89718,0.902789376588763,0.89718,True,False,-0.0030000000000000027
44950,44950,44,BUY,0.89986,0.89686,0.9028364715284837,0.89686,True,False,-0.0030000000000000027
44984,44984,116,BUY,0.89787,0.8948699999999999,0.8997892572892412,0.8997892572892412,False,True,0.0019192572892412496
44992,44992,104,BUY,0.89699,0.8942150000000001,0.8993900361076396,0.8993900361076396,False,True,0.0024000361076396137
44995,44995,101,BUY,0.89666,0.89366,0.8991745960482491,0.8991745960482491,False,True,0.002514596048249107
45002,45002,92,BUY,0.89589,0.89289,0.8986505310541438,0.8986505310541438,False,True,0.0027605310541438666
45003,45003,91,BUY,0.89564,0.89264,0.8986496608446447,0.8986496608446447,False,True,0.0030096608446447126
45059,45059,20,BUY,0.89523,0.89304,0.8969297478775754,0.8969297478775754,False,True,0.0016997478775754304
45060,45060,19,BUY,0.8951,0.892685,0.8969968900589279,0.8969968900589279,False,True,0.0018968900589279025
45097,45097,137,SELL,0.89945,0.90245,0.89345,0.90245,True,False,-0.0030000000000000027
45413,45413,191,BUY,0.90454,0.9018550000000001,0.9064382155859706,0.9018550000000001,True,False,-0.0026849999999999374
45414,45414,190,BUY,0.90443,0.90143,0.906574602722068,0.90143,True,False,-0.0030000000000000027
45466,45466,24,BUY,0.90458,0.9030800000000001,0.9057940117888039,0.9030800000000001,True,False,-0.0014999999999999458
45467,45467,43,BUY,0.90437,0.902585,0.9058106264765977,0.902585,True,False,-0.0017850000000000366
45470,45470,134,BUY,0.90407,0.9018500000000002,0.9057657384150213,0.9018500000000002,True,False,-0.0022199999999998887
45544,45544,103,BUY,0.90248,0.9006799999999999,0.9037555200726782,0.9037555200726782,False,True,0.0012755200726782823
45545,45545,102,BUY,0.90227,0.9001999999999999,0.9037402534590524,0.9037402534590524,False,True,0.0014702534590523841
45547,45547,102,BUY,0.90193,0.8996500000000001,0.903767158262478,0.903767158262478,False,True,0.0018371582624779892
45563,45563,120,SELL,0.90297,0.90462,0.8996700000000001,0.90462,True,False,-0.0016499999999999293
