2025-03-23 16:42:27,425 - INFO - Trade Executed: {'entry_idx': 1152, 'exit_idx': 35, 'type': 'BUY', 'entry_price': 0.89584, 'stop_loss': 0.89284, 'take_profit': 0.897690739807537, 'exit_price': 0.897690739807537, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0018507398075370274}
2025-03-23 16:42:27,455 - INFO - Trade Executed: {'entry_idx': 1153, 'exit_idx': 34, 'type': 'BUY', 'entry_price': 0.89551, 'stop_loss': 0.89251, 'take_profit': 0.8978688943246056, 'exit_price': 0.8978688943246056, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.002358894324605565}
2025-03-23 16:42:27,491 - INFO - Trade Executed: {'entry_idx': 1154, 'exit_idx': 33, 'type': 'BUY', 'entry_price': 0.89556, 'stop_loss': 0.89256, 'take_profit': 0.8979450440084574, 'exit_price': 0.8979450440084574, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0023850440084574043}
2025-03-23 16:42:27,539 - INFO - Trade Executed: {'entry_idx': 1191, 'exit_idx': 432, 'type': 'SELL', 'entry_price': 0.89861, 'stop_loss': 0.9009950000000002, 'take_profit': 0.8938399999999997, 'exit_price': 0.8938399999999997, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004770000000000274}
2025-03-23 16:42:27,582 - INFO - Trade Executed: {'entry_idx': 1206, 'exit_idx': 119, 'type': 'BUY', 'entry_price': 0.89701, 'stop_loss': 0.89422, 'take_profit': 0.8988699445336473, 'exit_price': 0.89422, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002789999999999959}
2025-03-23 16:42:27,618 - INFO - Trade Executed: {'entry_idx': 1326, 'exit_idx': 24, 'type': 'BUY', 'entry_price': 0.89392, 'stop_loss': 0.8912350000000001, 'take_profit': 0.8961896602625241, 'exit_price': 0.8961896602625241, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0022696602625240647}
2025-03-23 16:42:27,697 - INFO - Trade Executed: {'entry_idx': 1471, 'exit_idx': 1439, 'type': 'SELL', 'entry_price': 0.89809, 'stop_loss': 0.900955, 'take_profit': 0.8923600000000002, 'exit_price': 0.8923600000000002, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.005729999999999902}
2025-03-23 16:42:27,727 - INFO - Trade Executed: {'entry_idx': 1515, 'exit_idx': 46, 'type': 'BUY', 'entry_price': 0.89697, 'stop_loss': 0.895005, 'take_profit': 0.8982951829447398, 'exit_price': 0.895005, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0019649999999999945}
2025-03-23 16:42:27,765 - INFO - Trade Executed: {'entry_idx': 1516, 'exit_idx': 104, 'type': 'BUY', 'entry_price': 0.89665, 'stop_loss': 0.8942199999999998, 'take_profit': 0.8983873888652536, 'exit_price': 0.8942199999999998, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0024300000000001543}
2025-03-23 16:42:27,802 - INFO - Trade Executed: {'entry_idx': 1517, 'exit_idx': 107, 'type': 'BUY', 'entry_price': 0.89643, 'stop_loss': 0.89379, 'take_profit': 0.8984856976760187, 'exit_price': 0.89379, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0026399999999999757}
2025-03-23 16:42:27,834 - INFO - Trade Executed: {'entry_idx': 1545, 'exit_idx': 75, 'type': 'BUY', 'entry_price': 0.89558, 'stop_loss': 0.89405, 'take_profit': 0.8967156428660586, 'exit_price': 0.89405, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0015300000000000313}
2025-03-23 16:42:27,866 - INFO - Trade Executed: {'entry_idx': 1548, 'exit_idx': 96, 'type': 'BUY', 'entry_price': 0.89542, 'stop_loss': 0.89347, 'take_profit': 0.8967599912566513, 'exit_price': 0.8967599912566513, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0013399912566512961}
2025-03-23 16:42:27,898 - INFO - Trade Executed: {'entry_idx': 1563, 'exit_idx': 75, 'type': 'BUY', 'entry_price': 0.89485, 'stop_loss': 0.89266, 'take_profit': 0.8962379447939706, 'exit_price': 0.8962379447939706, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0013879447939705303}
2025-03-23 16:42:27,927 - INFO - Trade Executed: {'entry_idx': 1585, 'exit_idx': 52, 'type': 'BUY', 'entry_price': 0.89465, 'stop_loss': 0.89228, 'take_profit': 0.8961766864276622, 'exit_price': 0.8961766864276622, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0015266864276622938}
2025-03-23 16:42:27,957 - INFO - Trade Executed: {'entry_idx': 1603, 'exit_idx': 27, 'type': 'BUY', 'entry_price': 0.89443, 'stop_loss': 0.8931549999999999, 'take_profit': 0.895379745033094, 'exit_price': 0.895379745033094, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0009497450330940849}
2025-03-23 16:42:28,025 - INFO - Trade Executed: {'entry_idx': 1777, 'exit_idx': 1137, 'type': 'SELL', 'entry_price': 0.89667, 'stop_loss': 0.899445, 'take_profit': 0.8911199999999999, 'exit_price': 0.8911199999999999, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.005550000000000055}
2025-03-23 16:42:28,055 - INFO - Trade Executed: {'entry_idx': 1835, 'exit_idx': 11, 'type': 'BUY', 'entry_price': 0.89609, 'stop_loss': 0.89459, 'take_profit': 0.8971688407615157, 'exit_price': 0.8971688407615157, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0010788407615156537}
2025-03-23 16:42:28,086 - INFO - Trade Executed: {'entry_idx': 1836, 'exit_idx': 36, 'type': 'BUY', 'entry_price': 0.89607, 'stop_loss': 0.8944800000000002, 'take_profit': 0.8971863035900449, 'exit_price': 0.8971863035900449, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.001116303590044887}
